"StuID","Reason","LastUpdatedDate"
"1090","CSC + RENWAL","2014-07-09 00:00:00"
"1094","CSC + REN","2014-07-10 00:00:00"
"1095","CSC = REN","2014-07-11 00:00:00"
"1096","CSC + REN","2014-07-11 00:00:00"
"1097","CSC + REN","2014-07-11 00:00:00"
"1098","CSC + REN","2014-07-12 00:00:00"
"1103","CSC + REN + COA","2014-07-14 00:00:00"
"1104","CSC + COA = REN","2014-07-15 00:00:00"
"1111","CSC + REN","2014-07-16 00:00:00"
"1115","CSC","2014-07-17 00:00:00"
"1118","CSC + REN","2014-07-18 00:00:00"
"1119","CSC + COA","2014-07-19 00:00:00"
"1120","CSC + COA","2014-07-19 00:00:00"
"1122","CSC + REN","2014-07-19 00:00:00"
"1123","CSC + REN","2014-07-21 00:00:00"
"1129","CSC + CON+COA","2014-07-22 00:00:00"
"1130","CSC + REN","2014-07-23 00:00:00"
"1137","CSC + REN","2014-07-24 00:00:00"
"1139","CSC + REN + COA","2014-07-26 00:00:00"
"1140","CSC + REN","2014-07-26 00:00:00"
"1141","CSC + REN","2014-07-26 00:00:00"
"1142","CSC + REN","2014-07-26 00:00:00"
"1143","CSC  +  REN","2014-07-26 00:00:00"
"1149","CSC +  REN","2014-07-29 00:00:00"
"1150","CSC + REN","2014-07-29 00:00:00"
"1151","CSC + REN","2014-07-29 00:00:00"
"1157","CSC + COA","2014-08-02 00:00:00"
"1159","CSC + REN","2014-08-04 00:00:00"
"1160","CSC + REN","2014-08-04 00:00:00"
"1161","CSC + REN","2014-08-04 00:00:00"
"1162","CSC + COA + REN","2014-08-04 00:00:00"
"1163","CSC + REN","2014-08-05 00:00:00"
"1164","CSC + REN","2014-08-05 00:00:00"
"1165","CSC + REN","2014-08-05 00:00:00"
"1169","CSC + REN + COA","2014-08-05 00:00:00"
"1171","CSC + REN","2014-08-06 00:00:00"
"1173","CSC + REN + COA","2014-08-06 00:00:00"
"1174","CSC","2014-08-06 00:00:00"
"1175","CSC + REN","2014-08-07 00:00:00"
"1176","CSC + COA","2014-08-07 00:00:00"
"1177","CSC + REN","2014-08-07 00:00:00"
"1180","CSC + REN + COA + CON + COS","2014-08-08 00:00:00"
"1181","CSC + REN","2014-08-09 00:00:00"
"1184","CSC + REN","2014-08-09 00:00:00"
"1185","CSC","2014-08-09 00:00:00"
"1187","CSC + REN","2014-08-11 00:00:00"
"1188","CSC  + REN","2014-08-12 00:00:00"
"1189","CSC + COA","2014-08-12 00:00:00"
"1194","CSC  +  REN","2014-08-14 00:00:00"
"1197","CSC + REN + COA","2014-08-19 00:00:00"
"1198","CSC + REN","2014-08-19 00:00:00"
"1199","CSC + REN","2014-08-21 00:00:00"
"1204","CSC + REN","2014-08-19 00:00:00"
"1205","CSC + REN + COA","2014-08-20 00:00:00"
