"CarFuleID","CarID","CarName","FuleDT","StartKM","CloseKM","FuleType","FuleAmt","FuleQty"
"82","5","5 - HYUNDAI ACCENT","February2015","80504","81586","CNG","4270","21"
"83","2","2 - SWIFT DZIRE","March2015","88159","89805","CNG","4323","22"
"84","3","3 - WAGON-R","March2015","71554","73501","CNG","4677","22"
"85","4","4 - HYUNDAI- I 10","March2015","62712","63459","CNG","2245","22"
"86","5","5 - HYUNDAI ACCENT","March2015","81587","82779","CNG","3755","22"
"87","2","2 - SWIFT DZIRE","April2015","89806","91975","CNG","4351","23"
"88","3","3 - WAGON-R","April2015","73502","75519","CNG","4331","23"
"89","4","4 - HYUNDAI- I 10","April2015","63460","63631","CNG","1671","23"
"90","5","5 - HYUNDAI ACCENT","April2015","82780","83868","CNG","4647","23"
"91","2","2 - SWIFT DZIRE","May2015","91976","94441","CNG","4573","24"
"92","3","3 - WAGON-R","May2015","75520","77406","CNG","4183","24"
"93","4","4 - HYUNDAI- I 10","May2015","63632","63687","CNG","1000","24"
"94","5","5 - HYUNDAI ACCENT","May2015","83869","84818","CNG","4244","24"
"95","2","2 - SWIFT DZIRE","June2015","94442","97178","CNG","4400","25"
"96","3","3 - WAGON-R","June2015","77407","79261","CNG","4000","25"
"97","4","4 - HYUNDAI- I 10","June2015","63688","64891","CNG","3500","25"
"98","5","5 - HYUNDAI ACCENT","June2015","84819","85646","CNG","3700","25"
"99","2","2 - SWIFT DZIRE","July2015","97179","99668","CNG","5040","26"
"100","3","3 - WAGON-R","July2015","79262","81089","CNG","4470","26"
"101","4","4 - HYUNDAI- I 10","July2015","64892","65133","CNG","3460","26"
"102","5","5 - HYUNDAI ACCENT","July2015","85647","87603","CNG","5030","26"
"103","2","2 - SWIFT DZIRE","August2015","99669","103339","CNG","5200","27"
"104","3","3 - WAGON-R","August2015","81090","82570","CNG","2800","27"
"105","4","4 - HYUNDAI- I 10","August2015","65134","66316","CNG","4100","27"
"106","5","5 - HYUNDAI ACCENT","August2015","87604","89986","CNG","5900","27"
"107","2","2 - SWIFT DZIRE","September2015","103340","104422","CNG","2500","28"
"108","3","3 - WAGON-R","September2015","82571","83140","CNG","1970","28"
"109","4","4 - HYUNDAI- I 10","September2015","66317","66478","CNG","850","28"
"110","5","5 - HYUNDAI ACCENT","September2015","89987","90462","CNG","2180","28"
"111","2","2 - SWIFT DZIRE","October2015","104423","106641","CNG","4500","29"
"112","3","3 - WAGON-R","October2015","83141","84395","CNG","3500","29"
"113","4","4 - HYUNDAI- I 10","October2015","66479","67427","CNG","2500","29"
"114","5","5 - HYUNDAI ACCENT","October2015","90463","91594","CNG","4500","29"
"115","2","2 - SWIFT DZIRE","November2015","106642","108923","CNG","4900","30"
"116","3","3 - WAGON-R","November2015","84396","86020","CNG","4400","30"
"117","5","5 - HYUNDAI ACCENT","November2015","91595","93357","CNG","4700","30"
"118","4","4 - HYUNDAI- I 10","November2015","67428","67583","CNG","1000","30"
"119","2","2 - SWIFT DZIRE","December2015","108924","111611","CNG","5400","31"
